gene	chr	starts	ends	strand	ecto	endo	meso	set
Jph1	1	17097889	16994938	0	-1.0597816	-1.0565915	-1.2310166	Sim
Rab23	1	33719882	33742564	1	1.701717	1.0306062	1.723052	Sim
Tbc1d8	1	39478747	39371499	0	3.9078608	3.89682	3.6947286	Sim
D1Bwg0212e	1	39534992	39546881	1	2.829925	2.502768	2.837053	Sim
Map4k4	1	39900913	40026310	1	2.3151684	2.6276665	2.6458027	Sim
Tmem194b	1	52630705	52651919	1	1.199009	1.2074441	0.14579676	Sim
Kctd18	1	58018956	57955101	0	1.8036777	1.7844532	1.6622484	Sim
Mpp4	1	59163389	59120936	0	-0.16287093	-0.14296088	-1.3367249	Sim
Akr1cl	1	65032759	65012689	0	-3.1791081	-4.7008333	-3.184323	Sim
1810031K17Rik	1	75142368	75134554	0	1.7780268	2.0345876	2.0493395	Sim
Fam134a	1	75142786	75147909	1	1.9161975	1.9216435	1.8733319	Sim
Atg9a	1	75191923	75180866	0	2.0092187	1.4474385	1.9855084	Sim
Dnajb2	1	75236465	75244804	1	0.07451063	0.6322202	0.60276204	Sim
Sh3bp4	1	89070415	89155068	1	3.4231246	3.4061584	2.5296977	Sim
Gpr39	1	125676995	125873862	1	-2.1475918	-1.9824746	-1.9859375	Sim
R3hdm1	1	128103306	128237735	1	4.253833	3.8009872	4.2541685	Sim
Ptpn7	1	135132725	135145320	1	-3.2454505	-1.945513	-1.9825841	Sim
Arl8a	1	135146824	135156269	1	0.7125562	0.18446162	0.70289457	Sim
Edem3	1	151755374	151822328	1	1.4689277	1.4287889	1.4547595	Sim
Klhl20	1	161131511	161088375	0	0.30896112	0.32590503	0.30395448	Sim
Gpr161	1	165301863	165322930	1	-2.8672333	-2.8914587	-6.3423805	Sim
Adcy10	1	165485183	165576774	1	-5.268418	-5.03807	-5.0966744	Sim
Cd247	1	165788681	165877276	1	-0.21744862	-0.2459973	-0.97847354	Sim
Dusp12	1	170885540	170873498	0	2.9576893	2.4538305	2.945748	Sim
Alyref2	1	171503478	171504750	1	0.89865303	0.049946733	0.92095315	Sim
Dcaf8	1	172148015	172196393	1	4.526005	4.5736094	4.577928	Sim
Atp1a2	1	172298064	172271709	0	-4.2152653	-1.4282373	-1.3864238	Sim
Pld5	1	176275312	175962306	0	-3.6484988	-8.92214	-3.6137283	Sim
CAAA01083517.1	1	183369529	183326725	0	3.469327	3.6301374	3.6193106	Sim
Eprs	1	185363095	185428355	1	6.5015903	5.9514184	6.499454	Sim
Rps6kc1	1	190911770	190700202	0	-0.36891913	0.21785715	0.22823946	Sim
Atf3	1	191183340	191170296	0	-8.053401	-3.253198	-3.2890823	Sim
Rd3	1	191977373	191988282	1	-4.7582803	-4.720578	-7.393893	Sim
Otud1	2	19658062	19660590	1	-0.3149149	-0.58345336	-0.3354565	Sim
Pnpla7	2	24976033	25054057	1	-0.87366295	-1.1313783	-0.893908	Sim
Nelf	2	25054355	25062881	1	1.7371918	2.3926268	2.371345	Sim
Rexo4	2	26964386	26953563	0	4.0429153	3.7066777	4.048436	Sim
Slc2a6	2	27027998	27021363	0	-2.689118	-7.2697363	-2.7357652	Sim
Ppp1r26	2	28446800	28455508	1	-0.21842386	-0.25259882	-0.35844168	Sim
Nup188	2	30286397	30344266	1	3.4088557	3.5294545	3.5438848	Sim
Mrrf	2	36136389	36190647	1	3.5023124	3.3531618	3.4988825	Sim
Rc3h2	2	37422903	37370069	0	1.623205	1.3604077	1.6084714	Sim
Stam2	2	52742281	52691664	0	2.0477462	2.266357	2.2563875	Sim
Baz2b	2	60209839	59899363	0	0.2065707	1.3350996	1.3205545	Sim
Scn2a1	2	65620857	65767447	1	-2.5091324	-2.5162842	-4.052095	Sim
Fastkd1	2	69713516	69686815	0	1.9063443	0.40413016	1.8924631	Sim
Gorasp2	2	70661576	70712636	1	4.307397	5.016749	5.0169415	Sim
Slc25a12	2	71367749	71271063	0	0.13268203	-1.6526724	0.12465301	Sim
Dfnb59	2	76648476	76658556	1	-3.7758667	-6.0345573	-3.7485135	Sim
Zc3h15	2	83644435	83664622	1	6.246155	5.964933	6.2422533	Sim
Fam171b	2	83812636	83883486	1	1.7504534	1.747137	0.07057565	Sim
Mtch2	2	90847155	90866810	1	5.8173833	5.811281	5.7027054	Sim
Celf1	2	90940382	91019497	1	5.310849	5.1048326	5.3131866	Sim
Trim44	2	102407828	102300119	0	2.5047996	1.7103673	2.4938147	Sim
Lmo2	2	103957986	103981878	1	1.6584817	2.8339603	2.8197126	Sim
Ccdc73	2	104867805	105017904	1	0.9472345	0.81462973	0.9519356	Sim
Eif3m	2	105017080	104999656	0	7.4245996	7.177556	7.423669	Sim
Rcn1	2	105399319	105386291	0	4.8709464	5.4402494	5.4434175	Sim
Kif18a	2	109280738	109341747	1	2.855282	2.863528	2.1395147	Sim
Ino80	2	119477687	119373042	0	0.746059	0.72095907	0.36570078	Sim
Mfap1a	2	121506665	121491911	0	2.4341097	2.4189146	2.4494076	Sim
Usp8	2	126707328	126759297	1	4.0901585	4.4504113	4.4623575	Sim
Mal	2	127656695	127633226	0	-5.3870325	-5.323795	-5.315285	Sim
Ebf4	2	130295169	130370481	1	-3.7492163	-3.8069942	-8.994882	Sim
Rnf24	2	131352892	131298064	0	-0.6343385	-0.2638198	-0.2558454	Sim
5730494N06Rik	2	132247807	132239492	0	3.1103668	3.1971726	3.1999028	Sim
Rrbp1	2	144011263	143947395	0	3.2518742	3.266922	3.0148191	Sim
Csnk2a1	2	152226839	152281852	1	6.2751255	6.22761	6.284232	Sim
Tbc1d20	2	152293828	152313996	1	2.3675838	2.2878942	2.363024	Sim
Raly	2	154791096	154867261	1	6.6743603	6.2037396	6.6743693	Sim
Edem2	2	155729475	155701677	0	2.3817914	3.0259323	3.0365903	Sim
Gdap1l1	2	163438476	163455324	1	2.4611104	-1.4445298	2.4417894	Sim
Ywhab	2	163994960	164018588	1	7.1594796	7.0286975	7.1606593	Sim
Wfdc13	2	164685107	164687706	1	-2.9285169	-2.3677797	-2.35927	Sim
Sall4	2	168767943	168748332	0	6.264335	6.271293	6.0900207	Sim
Gm14306	2	176670522	176719085	1	0.30388984	-1.4462065	0.33303177	Sim
9030418K01Rik	2	178414524	178424428	1	-1.0904759	-2.7654474000000002	-1.0505956	Sim
Zbtb46	2	181459426	181387762	0	-0.26540396	-0.8092855	-0.27184707	Sim
Mrps28	3	8923918	8802146	0	6.9316573	6.919965	6.9342203	Sim
Pde7a	3	19311322	19223108	0	2.224956	2.2344322	2.1213598	Sim
Prkci	3	30995747	31052741	1	2.6237156	2.6441972	2.525472	Sim
Acad9	3	36065979	36094944	1	2.9480286000000002	3.2125213	3.222367	Sim
Bbs7	3	36613477	36573142	0	1.730141	1.8982948	1.8792013	Sim
Ankrd50	3	38484844	38449261	0	1.0065122	1.0306114	0.42286935	Sim
Rab33b	3	51483966	51495905	1	0.7240168	0.72963226	0.24169563	Sim
Ufm1	3	53863830	53855212	0	3.8554454	4.074133	4.063784	Sim
Rap2b	3	61364507	61368703	1	3.5097594	2.6696079	3.5187144	Sim
Dhx36	3	62507004	62470039	0	4.320127	3.8990026	4.3267813	Sim
Kpna4	3	69127113	69067149	0	2.7741883	2.7930317	2.5805433	Sim
B3galnt1	3	69598861	69574186	0	1.7032875	2.6553388	2.6521547	Sim
Serpini1	3	75557547	75643495	1	-0.61930656	-1.6990271	-0.6410977	Sim
Cd1d1	3	86999441	86995834	0	-0.32638684	-1.752085	-0.34051043	Sim
Gon4l	3	88835231	88910103	1	1.9248381	1.5010082	1.9343657	Sim
Ash1l	3	88965812	89079373	1	1.6679995	1.6756829	1.405456	Sim
Clk2	3	89164795	89176921	1	1.731823	1.6107802	1.734998	Sim
Ubap2l	3	90052475	89999589	0	5.47693	5.0905576	5.4693246	Sim
Ints3	3	90433636	90391380	0	3.4785516	3.125922	3.4750545	Sim
Rfx5	3	94954075	94961561	1	-0.48288703	-0.047865227	-0.05368222	Sim
Psmd4	3	95042614	95032694	0	6.8876343	6.546913	6.8805814	Sim
Gabpb2	3	95217916	95181766	0	2.0826201	2.0860295	1.979166	Sim
Gdap2	3	100162381	100206981	1	2.2030725	2.2124326	2.0887647	Sim
Ap4b1	3	103809520	103822025	1	2.4663465	2.483139	2.1925333	Sim
